DECILE1,LSAT,UGPA,grad,fulltime,FAM_INC,gender,race1,Y,TIER,A,U_FAMINC,U_UGPA,U_LSAT,U_TIER,U_DEC
3.0,32.0,3.5,1,1,3.0,0,white,1,3.0,0,-0.42846246049910297,0.22715147326978702,-3.798056053888459,-0.5242591162500503,-2.6337736917079493
1.0,30.0,3.5,1,1,3.0,0,white,1,3.0,0,-0.42846246049910297,0.22715147326978702,-5.798056053888459,-0.35763406499774053,-4.297096084309637
5.0,36.0,3.5,1,1,3.0,0,white,1,4.0,0,-0.42846246049910297,0.22715147326978702,0.2019439461115411,0.1424907812453302,-0.7569226203742918
8.0,38.0,3.5,1,1,3.0,0,white,1,3.0,0,-0.42846246049910297,0.22715147326978702,2.201943946111541,-1.0241342700069795,1.3561934860971148
10.0,35.0,3.5,1,1,4.0,1,white,1,3.0,0,0.4940451051608785,0.32918076788510353,-2.694784440956724,-0.7866560938116072,3.8612098971945823
8.0,31.0,3.5,1,1,3.0,0,white,1,2.0,0,-0.42846246049910297,0.22715147326978702,-4.798056053888459,-1.440946590623895,1.9843588258609248
3.0,47.0,3.5,1,1,4.0,1,white,1,6.0,0,0.4940451051608785,0.32918076788510353,9.305215559043276,1.2135935986745343,-3.508236888804446
8.0,40.0,3.5,1,1,4.0,0,white,1,3.0,0,0.571537539500897,0.2195042021108975,3.1079359111507046,-1.203218721942381,1.0195158786988028
7.0,30.0,3.5,1,1,3.0,0,white,1,2.0,0,-0.42846246049910297,0.22715147326978702,-5.798056053888459,-1.3576340649977405,1.1526976295600813
10.0,34.0,3.5,1,1,3.0,1,white,1,3.0,0,-0.5059548948391215,0.33682803904399305,-2.6007764059958944,-0.69088416750236,4.029548700893739
3.0,39.0,3.5,1,1,3.0,1,white,1,4.0,0,-0.5059548948391215,0.33682803904399305,2.3992235940041056,-0.10744679563313397,-3.261939031471761
9.0,48.0,3.5,1,1,3.0,1,white,1,6.0,0,-0.5059548948391215,0.33682803904399305,11.399223594004106,1.1427404737314717,2.3234243074963983
6.0,37.0,3.5,1,1,1.0,1,white,1,4.0,0,-2.5059548948391215,0.35212258136177255,2.5872396639257644,0.08409705698536118,0.07473857592655175
6.0,39.0,3.5,1,1,2.0,0,white,1,4.0,0,-1.428462460499103,0.234798744428677,4.2959519810723705,-0.09498739495004127,-0.2619390314717611
4.0,33.0,3.5,1,1,3.0,0,white,1,3.0,0,-0.42846246049910297,0.22715147326978702,-2.798056053888459,-0.6075716418762047,-1.8021124954071048
6.0,45.0,3.5,1,1,4.0,1,white,1,4.0,0,0.4940451051608785,0.32918076788510353,7.305215559043276,-0.6197813500731559,-1.2719718536666962
10.0,36.0,3.5,1,1,4.0,0,white,1,3.0,0,0.571537539500897,0.2195042021108975,-0.8920640888492954,-0.8699686194377616,3.6928710934954267
10.0,44.0,3.5,1,1,4.0,1,white,1,5.0,0,0.4940451051608785,0.32918076788510353,6.305215559043276,0.4635311755529994,3.446573236162741
1.0,30.5,3.5,1,1,4.0,1,white,1,3.0,0,0.4940451051608785,0.32918076788510353,-7.194784440956724,-0.41174972849391,-4.381265486159215
10.0,40.0,3.5,1,1,3.0,1,white,1,4.0,0,-0.5059548948391215,0.33682803904399305,3.3992235940041056,-0.1907593212592893,3.5697221648290833
7.0,48.0,3.5,1,1,4.0,0,white,1,5.0,0,0.571537539500897,0.2195042021108975,11.107935911150705,0.130281073048379,-0.22678197863388316
6.0,39.0,3.5,1,1,3.0,0,white,1,5.0,0,-0.42846246049910297,0.22715147326978702,3.201943946111541,0.892553204366866,0.2882672546585203
9.0,31.0,3.5,1,0,3.0,0,white,1,3.0,0,-0.42846246049910297,0.22715147326978702,-4.798056053888459,-0.44094659062389496,3.5345651119912063
8.0,33.5,3.5,1,1,4.0,1,white,1,5.0,0,0.4940451051608785,0.32918076788510353,-4.194784440956724,1.338312694627625,3.2141306750038785
10.0,31.0,3.5,1,1,3.0,0,white,1,3.0,0,-0.42846246049910297,0.22715147326978702,-4.798056053888459,-0.44094659062389496,4.534565111991206
2.0,32.0,3.5,1,1,4.0,1,white,1,3.0,0,0.4940451051608785,0.32918076788510353,-5.694784440956724,-0.5367185169331421,-3.6337736917079493
3.0,38.0,3.5,1,1,3.0,1,white,1,5.0,0,-0.5059548948391215,0.33682803904399305,1.3992235940041056,0.9758657299930205,-2.5433939416423232
8.0,30.0,3.5,1,1,4.0,0,white,1,3.0,0,0.571537539500897,0.2195042021108975,-6.8920640888492954,-0.37009346568083235,2.7029039156903627
10.0,37.0,3.5,1,1,4.0,1,white,1,3.0,0,0.4940451051608785,0.32918076788510353,-0.6947844409567239,-0.9532811450639169,3.524532289796271
4.0,32.0,3.5,1,1,4.0,0,white,1,5.0,0,0.571537539500897,0.2195042021108975,-4.8920640888492954,1.463281483066858,-0.5333611194473873
9.0,34.0,3.5,1,1,3.0,0,white,1,5.0,0,-0.42846246049910297,0.22715147326978702,-1.798056053888459,1.30911583249764,4.129961273154301
6.0,35.0,3.5,1,1,4.0,1,white,1,4.0,0,0.4940451051608785,0.32918076788510353,-2.694784440956724,0.21334390618839283,0.41141618332486374
9.0,44.0,3.5,1,1,4.0,0,white,1,3.0,0,0.571537539500897,0.2195042021108975,7.1079359111507046,-1.5364688244470006,1.3461606639021788
1.0,32.0,3.5,1,1,3.0,0,white,1,4.0,0,-0.42846246049910297,0.22715147326978702,-3.798056053888459,0.4757408837499497,-4.083567405577668
10.0,37.0,3.5,1,1,4.0,0,white,1,4.0,0,0.571537539500897,0.2195042021108975,0.10793591115070456,0.046718854936083076,4.074738575926552
2.0,28.0,3.5,1,1,4.0,0,white,1,3.0,0,0.571537539500897,0.2195042021108975,-8.892064088849295,-0.2034684144285226,-2.9604184769113253
10.0,39.0,3.5,1,1,3.0,1,white,1,4.0,0,-0.5059548948391215,0.33682803904399305,2.3992235940041056,-0.10744679563313397,3.738060968528239
9.0,35.0,3.5,1,1,4.0,1,white,1,2.0,0,0.4940451051608785,0.32918076788510353,-2.694784440956724,-1.7866560938116072,2.311003611064301
2.0,37.0,3.5,1,1,4.0,0,black,1,5.0,1,0.571537539500897,0.2195042021108975,0.10793591115070456,1.046718854936083,-3.375055137943167
3.0,46.0,3.5,1,1,4.0,1,white,1,6.0,0,0.4940451051608785,0.32918076788510353,8.305215559043276,1.2969061243006896,-3.3398980851052897
2.0,39.0,3.5,1,1,4.0,1,white,1,5.0,0,0.4940451051608785,0.32918076788510353,1.3052155590432761,0.8800938036837733,-3.7117327453414797
6.0,43.0,3.5,1,1,3.0,0,white,1,4.0,0,-0.42846246049910297,0.22715147326978702,7.201943946111541,-0.4406968981377535,-0.9352942462683851
9.0,34.0,3.5,1,1,4.0,0,white,1,3.0,0,0.571537539500897,0.2195042021108975,-2.8920640888492954,-0.7033435681854519,3.0295487008937387
8.0,33.0,3.5,1,1,3.0,0,white,1,3.0,0,-0.42846246049910297,0.22715147326978702,-2.798056053888459,-0.6075716418762047,2.197887504592895
10.0,43.0,3.5,1,1,4.0,0,white,1,3.0,0,0.571537539500897,0.2195042021108975,6.1079359111507046,-1.4531562988208462,2.5144994676013344
4.0,41.0,3.5,1,1,3.0,0,white,1,6.0,0,-0.42846246049910297,0.22715147326978702,5.201943946111541,1.7259281531145563,-1.4982040666095093
4.0,40.0,3.5,1,1,3.0,0,white,1,3.0,0,-0.42846246049910297,0.22715147326978702,4.201943946111541,-1.1907593212592893,-2.980484121301197
8.0,33.0,3.5,1,1,2.0,0,white,1,3.0,0,-1.428462460499103,0.234798744428677,-1.7040480189276295,-0.595112241193112,2.197887504592895
7.0,35.0,3.5,1,1,3.0,1,white,1,2.0,0,-0.5059548948391215,0.33682803904399305,-1.6007764059958944,-1.7741966931285145,0.31100361106430086
5.0,42.0,3.5,1,1,1.0,0,white,1,4.0,0,-2.428462460499103,0.2424460155875665,8.3899600160332,-0.33246557114541364,-1.7669554425692278
7.0,36.0,3.5,1,1,2.0,1,asian,1,4.0,1,-1.5059548948391215,0.344475310202883,0.493231628964935,0.15495018192842291,1.2430773796257082
2.0,46.0,3.5,1,1,4.0,0,white,1,5.0,0,0.571537539500897,0.2195042021108975,9.107935911150705,0.29690612430068963,-4.890104371235571
10.0,38.0,3.5,1,1,3.0,0,white,1,3.0,0,-0.42846246049910297,0.22715147326978702,2.201943946111541,-1.0241342700069795,3.3561934860971148
7.0,36.0,3.5,1,1,4.0,0,white,1,3.0,0,0.571537539500897,0.2195042021108975,-0.8920640888492954,-0.8699686194377616,0.6928710934954267
2.0,35.0,3.5,1,1,3.0,1,white,1,2.0,0,-0.5059548948391215,0.33682803904399305,-1.6007764059958944,-1.7741966931285145,-4.688996388935699
5.0,37.0,3.5,1,1,3.0,1,white,1,3.0,0,-0.5059548948391215,0.33682803904399305,0.39922359400410556,-0.9408217443808242,-1.4754677102037288
7.0,37.7,3.5,1,1,3.0,0,white,1,4.0,0,-0.42846246049910297,0.22715147326978702,1.901943946111544,0.0008594876808674101,0.9569014133371416
6.0,43.0,3.5,1,1,4.0,1,white,1,5.0,0,0.4940451051608785,0.32918076788510353,5.305215559043276,0.5468437011791538,-0.38508796013810365
6.0,31.0,3.5,1,1,3.0,1,hisp,1,5.0,1,-0.5059548948391215,0.33682803904399305,-5.600776405995894,1.559053409376105,1.6349776842517683
5.0,42.0,3.5,1,1,2.0,0,white,1,4.0,0,-1.428462460499103,0.234798744428677,7.2959519810723705,-0.34492497182850634,-1.7669554425692278
5.0,35.0,3.5,1,0,3.0,1,white,1,3.0,0,-0.5059548948391215,0.33682803904399305,-1.6007764059958944,-0.7741966931285145,-1.1387901028054177
9.0,43.5,3.5,1,1,5.0,1,white,1,5.0,0,1.4940451051608785,0.32153349672621356,4.71120752408244,0.49272803768298346,2.5307426380123186
6.0,29.0,3.5,1,1,4.0,1,white,1,2.0,0,0.4940451051608785,0.32918076788510353,-8.694784440956724,-1.286780940054678,0.3210364332592377
6.0,38.0,3.5,1,1,3.0,0,white,1,4.0,0,-0.42846246049910297,0.22715147326978702,2.201943946111541,-0.02413427000697954,-0.0936002277726038
6.0,37.0,3.5,1,1,4.0,1,white,1,3.0,0,0.4940451051608785,0.32918076788510353,-0.6947844409567239,-0.9532811450639169,-0.4754677102037288
8.0,40.0,3.5,1,1,3.0,1,white,1,3.0,0,-0.5059548948391215,0.33682803904399305,3.3992235940041056,-1.1907593212592893,1.0195158786988028
2.0,44.0,3.5,1,1,3.0,1,white,1,6.0,0,-0.5059548948391215,0.33682803904399305,7.399223594004106,1.4759905762360912,-4.003220477706978
2.0,43.0,3.5,1,1,3.0,1,white,1,4.0,0,-0.5059548948391215,0.33682803904399305,6.399223594004106,-0.4406968981377535,-4.935294246268385
10.0,38.0,3.5,1,1,3.0,1,white,1,3.0,0,-0.5059548948391215,0.33682803904399305,1.3992235940041056,-1.0241342700069795,3.3561934860971148
7.0,41.0,3.5,1,1,5.0,0,white,1,4.0,0,1.571537539500897,0.21185693095200753,3.013927876189875,-0.29899064825162913,0.4013833611299278
6.0,45.0,3.5,1,1,2.0,1,white,0,3.0,0,-1.5059548948391215,0.344475310202883,9.493231628964935,-1.5948625487069705,-1.8221781397969767
7.0,32.5,3.5,1,1,4.0,1,white,1,3.0,0,0.4940451051608785,0.32918076788510353,-5.194784440956724,-0.5783747797462198,1.282056906442473
5.0,35.0,3.5,1,1,5.0,1,white,1,4.0,0,1.4940451051608785,0.32153349672621356,-3.7887924759175604,0.20088450550530013,-0.5885838166751363
3.0,32.0,3.5,1,1,4.0,0,white,1,4.0,0,0.571537539500897,0.2195042021108975,-4.8920640888492954,0.4632814830668579,-2.083567405577668
6.0,39.0,3.5,1,1,4.0,0,white,1,3.0,0,0.571537539500897,0.2195042021108975,2.1079359111507046,-1.1199061963162267,-0.8121453176020417
6.0,40.0,3.5,1,1,4.0,1,white,1,5.0,0,0.4940451051608785,0.32918076788510353,2.305215559043276,0.7967812780576189,0.11992845095936477
1.0,45.0,3.5,1,1,4.0,1,white,1,6.0,0,0.4940451051608785,0.32918076788510353,7.305215559043276,1.380218649926844,-5.171559281406133
8.0,35.0,3.5,1,1,2.0,0,white,1,4.0,0,-1.428462460499103,0.234798744428677,0.29595198107237053,0.23826270755457823,2.4114161833248637
6.0,29.0,3.5,1,1,3.0,1,white,1,3.0,0,-0.5059548948391215,0.33682803904399305,-7.600776405995894,-0.2743215393715852,0.8712427193895191
4.0,46.0,3.5,1,1,5.0,1,white,1,5.0,0,1.4940451051608785,0.32153349672621356,7.21120752408244,0.28444672361759693,-2.890104371235571
4.0,44.0,3.5,1,1,3.0,0,white,1,4.0,0,-0.42846246049910297,0.22715147326978702,8.201943946111541,-0.5240094237639088,-3.1036330499675406
6.0,42.0,3.5,1,1,4.0,0,white,1,3.0,0,0.571537539500897,0.2195042021108975,5.1079359111507046,-1.3698437731946909,-1.3171617286995092
9.0,32.0,3.5,1,1,4.0,0,white,1,4.0,0,0.571537539500897,0.2195042021108975,-4.8920640888492954,0.4632814830668579,3.916432594422332
3.0,43.0,3.5,1,1,4.0,0,white,1,5.0,0,0.571537539500897,0.2195042021108975,6.1079359111507046,0.5468437011791538,-3.3850879601381036
4.0,30.5,3.5,1,1,3.0,0,white,1,3.0,0,-0.42846246049910297,0.22715147326978702,-5.298056053888459,-0.3992903278108173,-1.381265486159215
10.0,35.0,3.5,1,1,1.0,0,white,1,3.0,0,-2.428462460499103,0.2424460155875665,1.3899600160332,-0.7492778917623291,3.8612098971945823
4.0,34.0,3.5,1,1,3.0,1,white,1,3.0,0,-0.5059548948391215,0.33682803904399305,-2.6007764059958944,-0.69088416750236,-1.9704512991062613
6.0,38.0,3.5,1,1,3.0,0,white,1,4.0,0,-0.42846246049910297,0.22715147326978702,2.201943946111541,-0.02413427000697954,-0.0936002277726038
4.0,33.0,3.5,1,1,3.0,0,white,1,5.0,0,-0.42846246049910297,0.22715147326978702,-2.798056053888459,1.3924283581237953,-0.7016999231465428
5.0,36.0,3.5,1,1,3.0,1,white,1,5.0,0,-0.5059548948391215,0.33682803904399305,-0.6007764059958944,1.1424907812453302,-0.20671633424401126
9.0,41.0,3.5,1,1,4.0,1,white,1,5.0,0,0.4940451051608785,0.32918076788510353,3.305215559043276,0.7134687524314636,2.9515896472602092
8.0,40.0,3.5,1,1,4.0,0,white,1,3.0,0,0.571537539500897,0.2195042021108975,3.1079359111507046,-1.203218721942381,1.0195158786988028
6.0,23.3,3.5,1,1,2.0,1,black,1,1.0,1,-1.5059548948391215,0.344475310202883,-12.206768371035064,-1.7869807426194098,0.7303613282141459
9.0,42.0,3.5,1,1,4.0,0,white,1,5.0,0,0.571537539500897,0.2195042021108975,5.1079359111507046,0.6301562268053091,2.783250843561053
10.0,47.0,3.5,1,0,3.0,1,white,1,5.0,0,-0.5059548948391215,0.33682803904399305,10.399223594004106,0.22605299935762702,2.9415568250652724
8.0,43.0,3.5,1,1,5.0,1,white,1,4.0,0,1.4940451051608785,0.32153349672621356,4.21120752408244,-0.4656156995039389,1.064705753731615
3.0,30.0,3.5,1,1,4.0,1,white,1,3.0,0,0.4940451051608785,0.32918076788510353,-7.694784440956724,-0.37009346568083235,-2.2970960843096373
10.0,38.0,3.5,1,1,4.0,0,white,1,3.0,0,0.571537539500897,0.2195042021108975,1.1079359111507046,-1.0365936706900714,3.3561934860971148
2.0,44.0,3.5,1,1,3.0,1,white,1,6.0,0,-0.5059548948391215,0.33682803904399305,7.399223594004106,1.4759905762360912,-4.003220477706978
3.0,43.0,3.5,1,1,4.0,1,white,1,6.0,0,0.4940451051608785,0.32918076788510353,5.305215559043276,1.5468437011791538,-2.834881674007822
4.0,45.0,3.5,1,1,4.0,1,white,1,3.0,0,0.4940451051608785,0.32918076788510353,7.305215559043276,-1.619781350073156,-3.8221781397969767
5.0,38.0,3.5,1,1,3.0,1,white,1,3.0,0,-0.5059548948391215,0.33682803904399305,1.3992235940041056,-1.0241342700069795,-1.6438065139028852
8.0,41.0,3.5,1,1,4.0,0,white,1,3.0,0,0.571537539500897,0.2195042021108975,4.1079359111507046,-1.2865312475685364,0.8511770749996472
2.0,37.0,3.5,1,1,3.0,1,white,1,4.0,0,-0.5059548948391215,0.33682803904399305,0.39922359400410556,0.05917825561917578,-3.9252614240734482
4.0,25.0,3.5,1,1,5.0,0,white,0,4.0,0,1.571537539500897,0.21185693095200753,-12.986072123810125,1.034009761766849,0.09480422031642455
5.0,40.0,3.5,1,1,3.0,0,hisp,1,4.0,1,-0.42846246049910297,0.22715147326978702,4.201943946111541,-0.1907593212592893,-1.4302778351709167
5.0,40.0,3.5,1,1,3.0,0,white,1,4.0,0,-0.42846246049910297,0.22715147326978702,4.201943946111541,-0.1907593212592893,-1.4302778351709167
2.0,33.0,3.5,1,1,4.0,1,white,1,4.0,0,0.4940451051608785,0.32918076788510353,-4.694784440956724,0.3799689574407026,-3.2519062092768234
3.0,48.0,3.5,1,1,5.0,1,white,1,6.0,0,1.4940451051608785,0.32153349672621356,9.21120752408244,1.1178216723652863,-3.6765756925036017
9.0,34.0,3.5,1,1,3.0,0,white,1,5.0,0,-0.42846246049910297,0.22715147326978702,-1.798056053888459,1.30911583249764,4.129961273154301
8.0,31.5,3.5,1,1,4.0,0,white,1,5.0,0,0.571537539500897,0.2195042021108975,-5.3920640888492954,1.5049377458799347,3.5508082824021905
3.0,33.0,3.5,1,1,3.0,0,white,1,5.0,0,-0.42846246049910297,0.22715147326978702,-2.798056053888459,1.3924283581237953,-1.7016999231465428
10.0,43.0,3.5,1,1,4.0,1,white,1,3.0,0,0.4940451051608785,0.32918076788510353,5.305215559043276,-1.4531562988208462,2.5144994676013344
7.0,39.0,3.5,1,1,4.0,0,white,1,3.0,0,0.571537539500897,0.2195042021108975,2.1079359111507046,-1.1199061963162267,0.18785468239795833
7.0,43.0,3.5,1,1,3.0,1,white,1,5.0,0,-0.5059548948391215,0.33682803904399305,6.399223594004106,0.5593031018622465,0.6149120398618964
4.0,39.0,3.5,1,1,2.0,0,white,1,5.0,0,-1.428462460499103,0.234798744428677,4.2959519810723705,0.9050126050499587,-1.7117327453414797
8.0,44.0,3.5,1,1,5.0,1,white,1,6.0,0,1.4940451051608785,0.32153349672621356,5.21120752408244,1.4510717748699067,1.9967795222930222
4.0,32.0,3.5,1,1,4.0,1,white,1,2.0,0,0.4940451051608785,0.32918076788510353,-5.694784440956724,-1.536718516933142,-2.1839799778382307
9.0,35.0,3.5,1,1,3.0,0,white,1,2.0,0,-0.42846246049910297,0.22715147326978702,-0.7980560538884589,-1.7741966931285145,2.311003611064301
5.0,39.5,3.5,1,1,2.0,1,asian,1,6.0,1,-1.5059548948391215,0.344475310202883,3.993231628964935,1.863356342236881,-0.245695861060776
7.0,42.0,3.5,1,1,3.0,0,white,1,6.0,0,-0.42846246049910297,0.22715147326978702,6.201943946111541,1.642615627488401,1.3334571296913342
5.0,33.0,3.5,1,1,4.0,0,hisp,1,4.0,1,0.571537539500897,0.2195042021108975,-3.8920640888492954,0.3799689574407026,-0.2519062092768234
4.0,26.0,3.5,1,1,1.0,0,white,1,4.0,0,-2.428462460499103,0.2424460155875665,-7.6100399839668,1.0005348388730644,-0.07353458338273189
2.0,39.0,3.5,1,1,4.0,0,white,1,4.0,0,0.571537539500897,0.2195042021108975,2.1079359111507046,-0.11990619631622668,-4.261939031471761
10.0,35.5,3.5,1,1,4.0,0,white,1,5.0,0,0.571537539500897,0.2195042021108975,-1.3920640888492954,1.1716876433753152,4.8774530676055665
8.0,33.0,3.5,1,1,3.0,1,white,1,4.0,0,-0.5059548948391215,0.33682803904399305,-3.6007764059958944,0.3924283581237953,2.7480937907231766
4.0,41.0,3.5,1,1,4.0,1,white,1,6.0,0,0.4940451051608785,0.32918076788510353,3.305215559043276,1.7134687524314636,-1.4982040666095093
10.0,42.0,3.5,1,1,4.0,0,white,1,2.0,0,0.571537539500897,0.2195042021108975,5.1079359111507046,-2.369843773194691,2.1326319851702094
8.0,32.0,3.5,1,1,2.0,1,black,1,1.0,1,-1.5059548948391215,0.344475310202883,-3.506768371035065,-2.5117997155669576,1.2658137360314887
4.0,37.0,3.5,1,1,2.0,1,white,1,4.0,0,-1.5059548948391215,0.344475310202883,1.493231628964935,0.07163765630226848,-1.9252614240734482
5.0,38.0,3.5,1,1,4.0,1,white,1,3.0,0,0.4940451051608785,0.32918076788510353,0.30521555904327613,-1.0365936706900714,-1.6438065139028852
2.0,42.0,3.5,1,1,4.0,0,white,1,3.0,0,0.571537539500897,0.2195042021108975,5.1079359111507046,-1.3698437731946909,-5.317161728699509
9.0,40.0,3.5,1,1,4.0,1,white,1,1.0,0,0.4940451051608785,0.32918076788510353,2.305215559043276,-3.203218721942381,0.9191033064382417
8.0,28.0,3.5,1,1,3.0,0,white,1,5.0,0,-0.42846246049910297,0.22715147326978702,-7.798056053888459,1.8089909862545692,4.139994095349237
8.0,42.0,3.5,1,1,2.0,1,white,1,4.0,0,-1.5059548948391215,0.344475310202883,6.493231628964935,-0.34492497182850634,1.2330445574307722
3.0,45.0,3.5,1,1,4.0,1,white,1,6.0,0,0.4940451051608785,0.32918076788510353,7.305215559043276,1.380218649926844,-3.1715592814061333
5.0,35.0,3.5,1,1,4.0,0,white,1,3.0,0,0.571537539500897,0.2195042021108975,-1.8920640888492954,-0.7866560938116072,-1.1387901028054177
5.0,39.0,3.5,1,1,4.0,1,white,1,4.0,0,0.4940451051608785,0.32918076788510353,1.3052155590432761,-0.11990619631622668,-1.2619390314717611
7.0,39.0,3.5,1,0,2.0,1,white,1,5.0,0,-1.5059548948391215,0.344475310202883,3.493231628964935,0.9050126050499587,1.2882672546585203
4.0,39.0,3.5,1,1,3.0,0,white,1,5.0,0,-0.42846246049910297,0.22715147326978702,3.201943946111541,0.892553204366866,-1.7117327453414797
7.0,39.0,3.5,1,1,3.0,0,white,1,5.0,0,-0.42846246049910297,0.22715147326978702,3.201943946111541,0.892553204366866,1.2882672546585203
4.0,39.0,3.5,1,1,3.0,1,white,0,4.0,0,-0.5059548948391215,0.33682803904399305,2.3992235940041056,-0.10744679563313397,-2.261939031471761
7.0,34.0,3.5,1,1,4.0,0,white,1,4.0,0,0.571537539500897,0.2195042021108975,-2.8920640888492954,0.29665643181454815,1.5797549870240202
1.0,46.0,3.5,1,1,5.0,1,white,1,6.0,0,1.4940451051608785,0.32153349672621356,7.21120752408244,1.284446723617597,-5.33989808510529
6.0,45.0,3.5,1,1,3.0,0,white,1,3.0,0,-0.42846246049910297,0.22715147326978702,9.201943946111541,-1.6073219493900632,-1.8221781397969767
2.0,41.0,3.5,1,1,4.0,0,asian,1,5.0,1,0.571537539500897,0.2195042021108975,4.1079359111507046,0.7134687524314636,-4.048410352739791
3.0,32.0,3.5,1,1,3.0,1,white,1,2.0,0,-0.5059548948391215,0.33682803904399305,-4.600776405995894,-1.5242591162500503,-3.1839799778382307
10.0,37.0,3.5,1,1,4.0,0,white,1,4.0,0,0.571537539500897,0.2195042021108975,0.10793591115070456,0.046718854936083076,4.074738575926552
8.0,42.0,3.5,1,1,4.0,0,white,1,5.0,0,0.571537539500897,0.2195042021108975,5.1079359111507046,0.6301562268053091,1.7832508435610528
9.0,29.0,3.5,1,1,3.0,1,white,1,3.0,0,-0.5059548948391215,0.33682803904399305,-7.600776405995894,-0.2743215393715852,3.871242719389519
6.0,34.0,3.5,1,1,3.0,1,white,1,3.0,0,-0.5059548948391215,0.33682803904399305,-2.6007764059958944,-0.69088416750236,0.029548700893738733
10.0,40.0,3.5,1,1,3.0,1,white,1,3.0,0,-0.5059548948391215,0.33682803904399305,3.3992235940041056,-1.1907593212592893,3.019515878698803
1.0,41.0,3.5,1,1,5.0,0,white,1,4.0,0,1.571537539500897,0.21185693095200753,3.013927876189875,-0.29899064825162913,-5.598616638870072
9.0,44.0,3.5,1,1,4.0,1,white,1,6.0,0,0.4940451051608785,0.32918076788510353,6.305215559043276,1.4635311755529994,2.9967795222930222
6.0,36.0,3.5,1,1,4.0,1,white,1,4.0,0,0.4940451051608785,0.32918076788510353,-1.6947844409567239,0.1300313805622384,0.2430773796257082
10.0,31.0,3.5,1,1,3.0,1,white,1,3.0,0,-0.5059548948391215,0.33682803904399305,-5.600776405995894,-0.44094659062389496,4.534565111991206
2.0,32.5,3.5,1,1,2.0,0,black,1,5.0,1,-1.428462460499103,0.234798744428677,-2.2040480189276295,1.4465440216199656,-2.617530521296965
4.0,40.0,3.5,1,1,3.0,1,white,1,5.0,0,-0.5059548948391215,0.33682803904399305,3.3992235940041056,0.8092406787407107,-1.8800715490406352
7.0,36.0,3.5,1,1,4.0,0,white,1,3.0,0,0.571537539500897,0.2195042021108975,-0.8920640888492954,-0.8699686194377616,0.6928710934954267
5.0,41.0,3.5,1,1,3.0,1,white,1,4.0,0,-0.5059548948391215,0.33682803904399305,4.399223594004106,-0.2740718468854437,-1.5986166388700722
