DECILE1,LSAT,UGPA,grad,fulltime,FAM_INC,gender,race1,Y,TIER,A,U_UGPA,U_LSAT,U_TIER
7.0,48.0,3.5,1,1,4.0,0,white,1,5.0,0,0.2195042021108975,11.107935911150705,0.130281073048379
6.0,39.0,3.5,1,1,3.0,0,white,1,5.0,0,0.22715147326978702,3.201943946111541,0.892553204366866
9.0,31.0,3.5,1,0,3.0,0,white,1,3.0,0,0.22715147326978702,-4.798056053888459,-0.44094659062389496
8.0,33.5,3.5,1,1,4.0,1,white,1,5.0,0,0.32918076788510353,-4.194784440956724,1.338312694627625
10.0,31.0,3.5,1,1,3.0,0,white,1,3.0,0,0.22715147326978702,-4.798056053888459,-0.44094659062389496
2.0,32.0,3.5,1,1,4.0,1,white,1,3.0,0,0.32918076788510353,-5.694784440956724,-0.5367185169331421
3.0,38.0,3.5,1,1,3.0,1,white,1,5.0,0,0.33682803904399305,1.3992235940041056,0.9758657299930205
8.0,30.0,3.5,1,1,4.0,0,white,1,3.0,0,0.2195042021108975,-6.8920640888492954,-0.37009346568083235
10.0,37.0,3.5,1,1,4.0,1,white,1,3.0,0,0.32918076788510353,-0.6947844409567239,-0.9532811450639169
4.0,32.0,3.5,1,1,4.0,0,white,1,5.0,0,0.2195042021108975,-4.8920640888492954,1.463281483066858
9.0,34.0,3.5,1,1,3.0,0,white,1,5.0,0,0.22715147326978702,-1.798056053888459,1.30911583249764
6.0,35.0,3.5,1,1,4.0,1,white,1,4.0,0,0.32918076788510353,-2.694784440956724,0.21334390618839283
9.0,44.0,3.5,1,1,4.0,0,white,1,3.0,0,0.2195042021108975,7.1079359111507046,-1.5364688244470006
1.0,32.0,3.5,1,1,3.0,0,white,1,4.0,0,0.22715147326978702,-3.798056053888459,0.4757408837499497
10.0,37.0,3.5,1,1,4.0,0,white,1,4.0,0,0.2195042021108975,0.10793591115070456,0.046718854936083076
2.0,28.0,3.5,1,1,4.0,0,white,1,3.0,0,0.2195042021108975,-8.892064088849295,-0.2034684144285226
10.0,39.0,3.5,1,1,3.0,1,white,1,4.0,0,0.33682803904399305,2.3992235940041056,-0.10744679563313397
9.0,35.0,3.5,1,1,4.0,1,white,1,2.0,0,0.32918076788510353,-2.694784440956724,-1.7866560938116072
2.0,37.0,3.5,1,1,4.0,0,black,1,5.0,1,0.2195042021108975,0.10793591115070456,1.046718854936083
3.0,46.0,3.5,1,1,4.0,1,white,1,6.0,0,0.32918076788510353,8.305215559043276,1.2969061243006896
2.0,39.0,3.5,1,1,4.0,1,white,1,5.0,0,0.32918076788510353,1.3052155590432761,0.8800938036837733
6.0,43.0,3.5,1,1,3.0,0,white,1,4.0,0,0.22715147326978702,7.201943946111541,-0.4406968981377535
9.0,34.0,3.5,1,1,4.0,0,white,1,3.0,0,0.2195042021108975,-2.8920640888492954,-0.7033435681854519
8.0,33.0,3.5,1,1,3.0,0,white,1,3.0,0,0.22715147326978702,-2.798056053888459,-0.6075716418762047
10.0,43.0,3.5,1,1,4.0,0,white,1,3.0,0,0.2195042021108975,6.1079359111507046,-1.4531562988208462
4.0,41.0,3.5,1,1,3.0,0,white,1,6.0,0,0.22715147326978702,5.201943946111541,1.7259281531145563
4.0,40.0,3.5,1,1,3.0,0,white,1,3.0,0,0.22715147326978702,4.201943946111541,-1.1907593212592893
8.0,33.0,3.5,1,1,2.0,0,white,1,3.0,0,0.234798744428677,-1.7040480189276295,-0.595112241193112
7.0,35.0,3.5,1,1,3.0,1,white,1,2.0,0,0.33682803904399305,-1.6007764059958944,-1.7741966931285145
5.0,42.0,3.5,1,1,1.0,0,white,1,4.0,0,0.2424460155875665,8.3899600160332,-0.33246557114541364
7.0,36.0,3.5,1,1,2.0,1,asian,1,4.0,1,0.344475310202883,0.493231628964935,0.15495018192842291
2.0,46.0,3.5,1,1,4.0,0,white,1,5.0,0,0.2195042021108975,9.107935911150705,0.29690612430068963
10.0,38.0,3.5,1,1,3.0,0,white,1,3.0,0,0.22715147326978702,2.201943946111541,-1.0241342700069795
7.0,36.0,3.5,1,1,4.0,0,white,1,3.0,0,0.2195042021108975,-0.8920640888492954,-0.8699686194377616
2.0,35.0,3.5,1,1,3.0,1,white,1,2.0,0,0.33682803904399305,-1.6007764059958944,-1.7741966931285145
5.0,37.0,3.5,1,1,3.0,1,white,1,3.0,0,0.33682803904399305,0.39922359400410556,-0.9408217443808242
7.0,37.7,3.5,1,1,3.0,0,white,1,4.0,0,0.22715147326978702,1.901943946111544,0.0008594876808674101
6.0,43.0,3.5,1,1,4.0,1,white,1,5.0,0,0.32918076788510353,5.305215559043276,0.5468437011791538
6.0,31.0,3.5,1,1,3.0,1,hisp,1,5.0,1,0.33682803904399305,-5.600776405995894,1.559053409376105
5.0,42.0,3.5,1,1,2.0,0,white,1,4.0,0,0.234798744428677,7.2959519810723705,-0.34492497182850634
5.0,35.0,3.5,1,0,3.0,1,white,1,3.0,0,0.33682803904399305,-1.6007764059958944,-0.7741966931285145
9.0,43.5,3.5,1,1,5.0,1,white,1,5.0,0,0.32153349672621356,4.71120752408244,0.49272803768298346
6.0,29.0,3.5,1,1,4.0,1,white,1,2.0,0,0.32918076788510353,-8.694784440956724,-1.286780940054678
6.0,38.0,3.5,1,1,3.0,0,white,1,4.0,0,0.22715147326978702,2.201943946111541,-0.02413427000697954
6.0,37.0,3.5,1,1,4.0,1,white,1,3.0,0,0.32918076788510353,-0.6947844409567239,-0.9532811450639169
8.0,40.0,3.5,1,1,3.0,1,white,1,3.0,0,0.33682803904399305,3.3992235940041056,-1.1907593212592893
2.0,44.0,3.5,1,1,3.0,1,white,1,6.0,0,0.33682803904399305,7.399223594004106,1.4759905762360912
2.0,43.0,3.5,1,1,3.0,1,white,1,4.0,0,0.33682803904399305,6.399223594004106,-0.4406968981377535
10.0,38.0,3.5,1,1,3.0,1,white,1,3.0,0,0.33682803904399305,1.3992235940041056,-1.0241342700069795
7.0,41.0,3.5,1,1,5.0,0,white,1,4.0,0,0.21185693095200753,3.013927876189875,-0.29899064825162913
6.0,45.0,3.5,1,1,2.0,1,white,0,3.0,0,0.344475310202883,9.493231628964935,-1.5948625487069705
7.0,32.5,3.5,1,1,4.0,1,white,1,3.0,0,0.32918076788510353,-5.194784440956724,-0.5783747797462198
5.0,35.0,3.5,1,1,5.0,1,white,1,4.0,0,0.32153349672621356,-3.7887924759175604,0.20088450550530013
3.0,32.0,3.5,1,1,4.0,0,white,1,4.0,0,0.2195042021108975,-4.8920640888492954,0.4632814830668579
6.0,39.0,3.5,1,1,4.0,0,white,1,3.0,0,0.2195042021108975,2.1079359111507046,-1.1199061963162267
6.0,40.0,3.5,1,1,4.0,1,white,1,5.0,0,0.32918076788510353,2.305215559043276,0.7967812780576189
1.0,45.0,3.5,1,1,4.0,1,white,1,6.0,0,0.32918076788510353,7.305215559043276,1.380218649926844
8.0,35.0,3.5,1,1,2.0,0,white,1,4.0,0,0.234798744428677,0.29595198107237053,0.23826270755457823
6.0,29.0,3.5,1,1,3.0,1,white,1,3.0,0,0.33682803904399305,-7.600776405995894,-0.2743215393715852
4.0,46.0,3.5,1,1,5.0,1,white,1,5.0,0,0.32153349672621356,7.21120752408244,0.28444672361759693
4.0,44.0,3.5,1,1,3.0,0,white,1,4.0,0,0.22715147326978702,8.201943946111541,-0.5240094237639088
6.0,42.0,3.5,1,1,4.0,0,white,1,3.0,0,0.2195042021108975,5.1079359111507046,-1.3698437731946909
9.0,32.0,3.5,1,1,4.0,0,white,1,4.0,0,0.2195042021108975,-4.8920640888492954,0.4632814830668579
3.0,43.0,3.5,1,1,4.0,0,white,1,5.0,0,0.2195042021108975,6.1079359111507046,0.5468437011791538
4.0,30.5,3.5,1,1,3.0,0,white,1,3.0,0,0.22715147326978702,-5.298056053888459,-0.3992903278108173
10.0,35.0,3.5,1,1,1.0,0,white,1,3.0,0,0.2424460155875665,1.3899600160332,-0.7492778917623291
4.0,34.0,3.5,1,1,3.0,1,white,1,3.0,0,0.33682803904399305,-2.6007764059958944,-0.69088416750236
6.0,38.0,3.5,1,1,3.0,0,white,1,4.0,0,0.22715147326978702,2.201943946111541,-0.02413427000697954
4.0,33.0,3.5,1,1,3.0,0,white,1,5.0,0,0.22715147326978702,-2.798056053888459,1.3924283581237953
5.0,36.0,3.5,1,1,3.0,1,white,1,5.0,0,0.33682803904399305,-0.6007764059958944,1.1424907812453302
9.0,41.0,3.5,1,1,4.0,1,white,1,5.0,0,0.32918076788510353,3.305215559043276,0.7134687524314636
8.0,40.0,3.5,1,1,4.0,0,white,1,3.0,0,0.2195042021108975,3.1079359111507046,-1.203218721942381
6.0,23.3,3.5,1,1,2.0,1,black,1,1.0,1,0.344475310202883,-12.206768371035064,-1.7869807426194098
9.0,42.0,3.5,1,1,4.0,0,white,1,5.0,0,0.2195042021108975,5.1079359111507046,0.6301562268053091
10.0,47.0,3.5,1,0,3.0,1,white,1,5.0,0,0.33682803904399305,10.399223594004106,0.22605299935762702
8.0,43.0,3.5,1,1,5.0,1,white,1,4.0,0,0.32153349672621356,4.21120752408244,-0.4656156995039389
3.0,30.0,3.5,1,1,4.0,1,white,1,3.0,0,0.32918076788510353,-7.694784440956724,-0.37009346568083235
10.0,38.0,3.5,1,1,4.0,0,white,1,3.0,0,0.2195042021108975,1.1079359111507046,-1.0365936706900714
2.0,44.0,3.5,1,1,3.0,1,white,1,6.0,0,0.33682803904399305,7.399223594004106,1.4759905762360912
3.0,43.0,3.5,1,1,4.0,1,white,1,6.0,0,0.32918076788510353,5.305215559043276,1.5468437011791538
4.0,45.0,3.5,1,1,4.0,1,white,1,3.0,0,0.32918076788510353,7.305215559043276,-1.619781350073156
5.0,38.0,3.5,1,1,3.0,1,white,1,3.0,0,0.33682803904399305,1.3992235940041056,-1.0241342700069795
8.0,41.0,3.5,1,1,4.0,0,white,1,3.0,0,0.2195042021108975,4.1079359111507046,-1.2865312475685364
2.0,37.0,3.5,1,1,3.0,1,white,1,4.0,0,0.33682803904399305,0.39922359400410556,0.05917825561917578
4.0,25.0,3.5,1,1,5.0,0,white,0,4.0,0,0.21185693095200753,-12.986072123810125,1.034009761766849
5.0,40.0,3.5,1,1,3.0,0,hisp,1,4.0,1,0.22715147326978702,4.201943946111541,-0.1907593212592893
5.0,40.0,3.5,1,1,3.0,0,white,1,4.0,0,0.22715147326978702,4.201943946111541,-0.1907593212592893
2.0,33.0,3.5,1,1,4.0,1,white,1,4.0,0,0.32918076788510353,-4.694784440956724,0.3799689574407026
3.0,48.0,3.5,1,1,5.0,1,white,1,6.0,0,0.32153349672621356,9.21120752408244,1.1178216723652863
9.0,34.0,3.5,1,1,3.0,0,white,1,5.0,0,0.22715147326978702,-1.798056053888459,1.30911583249764
8.0,31.5,3.5,1,1,4.0,0,white,1,5.0,0,0.2195042021108975,-5.3920640888492954,1.5049377458799347
3.0,33.0,3.5,1,1,3.0,0,white,1,5.0,0,0.22715147326978702,-2.798056053888459,1.3924283581237953
10.0,43.0,3.5,1,1,4.0,1,white,1,3.0,0,0.32918076788510353,5.305215559043276,-1.4531562988208462
7.0,39.0,3.5,1,1,4.0,0,white,1,3.0,0,0.2195042021108975,2.1079359111507046,-1.1199061963162267
7.0,43.0,3.5,1,1,3.0,1,white,1,5.0,0,0.33682803904399305,6.399223594004106,0.5593031018622465
4.0,39.0,3.5,1,1,2.0,0,white,1,5.0,0,0.234798744428677,4.2959519810723705,0.9050126050499587
8.0,44.0,3.5,1,1,5.0,1,white,1,6.0,0,0.32153349672621356,5.21120752408244,1.4510717748699067
4.0,32.0,3.5,1,1,4.0,1,white,1,2.0,0,0.32918076788510353,-5.694784440956724,-1.536718516933142
9.0,35.0,3.5,1,1,3.0,0,white,1,2.0,0,0.22715147326978702,-0.7980560538884589,-1.7741966931285145
5.0,39.5,3.5,1,1,2.0,1,asian,1,6.0,1,0.344475310202883,3.993231628964935,1.863356342236881
7.0,42.0,3.5,1,1,3.0,0,white,1,6.0,0,0.22715147326978702,6.201943946111541,1.642615627488401
5.0,33.0,3.5,1,1,4.0,0,hisp,1,4.0,1,0.2195042021108975,-3.8920640888492954,0.3799689574407026
4.0,26.0,3.5,1,1,1.0,0,white,1,4.0,0,0.2424460155875665,-7.6100399839668,1.0005348388730644
2.0,39.0,3.5,1,1,4.0,0,white,1,4.0,0,0.2195042021108975,2.1079359111507046,-0.11990619631622668
10.0,35.5,3.5,1,1,4.0,0,white,1,5.0,0,0.2195042021108975,-1.3920640888492954,1.1716876433753152
8.0,33.0,3.5,1,1,3.0,1,white,1,4.0,0,0.33682803904399305,-3.6007764059958944,0.3924283581237953
4.0,41.0,3.5,1,1,4.0,1,white,1,6.0,0,0.32918076788510353,3.305215559043276,1.7134687524314636
10.0,42.0,3.5,1,1,4.0,0,white,1,2.0,0,0.2195042021108975,5.1079359111507046,-2.369843773194691
8.0,32.0,3.5,1,1,2.0,1,black,1,1.0,1,0.344475310202883,-3.506768371035065,-2.5117997155669576
4.0,37.0,3.5,1,1,2.0,1,white,1,4.0,0,0.344475310202883,1.493231628964935,0.07163765630226848
5.0,38.0,3.5,1,1,4.0,1,white,1,3.0,0,0.32918076788510353,0.30521555904327613,-1.0365936706900714
2.0,42.0,3.5,1,1,4.0,0,white,1,3.0,0,0.2195042021108975,5.1079359111507046,-1.3698437731946909
9.0,40.0,3.5,1,1,4.0,1,white,1,1.0,0,0.32918076788510353,2.305215559043276,-3.203218721942381
8.0,28.0,3.5,1,1,3.0,0,white,1,5.0,0,0.22715147326978702,-7.798056053888459,1.8089909862545692
8.0,42.0,3.5,1,1,2.0,1,white,1,4.0,0,0.344475310202883,6.493231628964935,-0.34492497182850634
3.0,45.0,3.5,1,1,4.0,1,white,1,6.0,0,0.32918076788510353,7.305215559043276,1.380218649926844
5.0,35.0,3.5,1,1,4.0,0,white,1,3.0,0,0.2195042021108975,-1.8920640888492954,-0.7866560938116072
5.0,39.0,3.5,1,1,4.0,1,white,1,4.0,0,0.32918076788510353,1.3052155590432761,-0.11990619631622668
7.0,39.0,3.5,1,0,2.0,1,white,1,5.0,0,0.344475310202883,3.493231628964935,0.9050126050499587
4.0,39.0,3.5,1,1,3.0,0,white,1,5.0,0,0.22715147326978702,3.201943946111541,0.892553204366866
7.0,39.0,3.5,1,1,3.0,0,white,1,5.0,0,0.22715147326978702,3.201943946111541,0.892553204366866
4.0,39.0,3.5,1,1,3.0,1,white,0,4.0,0,0.33682803904399305,2.3992235940041056,-0.10744679563313397
7.0,34.0,3.5,1,1,4.0,0,white,1,4.0,0,0.2195042021108975,-2.8920640888492954,0.29665643181454815
1.0,46.0,3.5,1,1,5.0,1,white,1,6.0,0,0.32153349672621356,7.21120752408244,1.284446723617597
6.0,45.0,3.5,1,1,3.0,0,white,1,3.0,0,0.22715147326978702,9.201943946111541,-1.6073219493900632
2.0,41.0,3.5,1,1,4.0,0,asian,1,5.0,1,0.2195042021108975,4.1079359111507046,0.7134687524314636
3.0,32.0,3.5,1,1,3.0,1,white,1,2.0,0,0.33682803904399305,-4.600776405995894,-1.5242591162500503
10.0,37.0,3.5,1,1,4.0,0,white,1,4.0,0,0.2195042021108975,0.10793591115070456,0.046718854936083076
8.0,42.0,3.5,1,1,4.0,0,white,1,5.0,0,0.2195042021108975,5.1079359111507046,0.6301562268053091
9.0,29.0,3.5,1,1,3.0,1,white,1,3.0,0,0.33682803904399305,-7.600776405995894,-0.2743215393715852
6.0,34.0,3.5,1,1,3.0,1,white,1,3.0,0,0.33682803904399305,-2.6007764059958944,-0.69088416750236
10.0,40.0,3.5,1,1,3.0,1,white,1,3.0,0,0.33682803904399305,3.3992235940041056,-1.1907593212592893
1.0,41.0,3.5,1,1,5.0,0,white,1,4.0,0,0.21185693095200753,3.013927876189875,-0.29899064825162913
9.0,44.0,3.5,1,1,4.0,1,white,1,6.0,0,0.32918076788510353,6.305215559043276,1.4635311755529994
6.0,36.0,3.5,1,1,4.0,1,white,1,4.0,0,0.32918076788510353,-1.6947844409567239,0.1300313805622384
10.0,31.0,3.5,1,1,3.0,1,white,1,3.0,0,0.33682803904399305,-5.600776405995894,-0.44094659062389496
2.0,32.5,3.5,1,1,2.0,0,black,1,5.0,1,0.234798744428677,-2.2040480189276295,1.4465440216199656
4.0,40.0,3.5,1,1,3.0,1,white,1,5.0,0,0.33682803904399305,3.3992235940041056,0.8092406787407107
7.0,36.0,3.5,1,1,4.0,0,white,1,3.0,0,0.2195042021108975,-0.8920640888492954,-0.8699686194377616
5.0,41.0,3.5,1,1,3.0,1,white,1,4.0,0,0.33682803904399305,4.399223594004106,-0.2740718468854437
8.0,33.0,3.5,1,1,4.0,0,white,1,3.0,0,0.2195042021108975,-3.8920640888492954,-0.6200310425592974
5.0,32.0,3.5,1,1,3.0,0,white,1,3.0,0,0.22715147326978702,-3.798056053888459,-0.5242591162500503
7.0,44.0,3.5,1,1,4.0,1,white,1,5.0,0,0.32918076788510353,6.305215559043276,0.4635311755529994
5.0,42.0,3.5,1,1,4.0,0,white,1,5.0,0,0.2195042021108975,5.1079359111507046,0.6301562268053091
9.0,39.0,3.5,1,1,3.0,0,white,1,3.0,0,0.22715147326978702,3.201943946111541,-1.107446795633134
5.0,48.0,3.5,1,1,4.0,0,white,1,4.0,0,0.2195042021108975,11.107935911150705,-0.869718926951621
9.0,42.0,3.5,1,1,4.0,1,white,1,4.0,0,0.32918076788510353,4.305215559043276,-0.36984377319469086
7.0,38.0,3.5,1,1,4.0,1,white,1,4.0,0,0.32918076788510353,0.30521555904327613,-0.036593670690071356
8.0,39.0,3.5,1,1,4.0,0,white,1,6.0,0,0.2195042021108975,2.1079359111507046,1.8800938036837733
10.0,42.0,3.5,1,1,4.0,1,white,1,6.0,0,0.32918076788510353,4.305215559043276,1.6301562268053091
5.0,46.0,3.5,1,1,4.0,0,asian,1,6.0,1,0.2195042021108975,9.107935911150705,1.2969061243006896
7.0,41.0,3.5,1,1,4.0,1,white,1,5.0,0,0.32918076788510353,3.305215559043276,0.7134687524314636
9.0,39.0,3.5,1,1,3.0,1,white,1,4.0,0,0.33682803904399305,2.3992235940041056,-0.10744679563313397
9.0,32.0,3.5,1,1,4.0,0,white,1,3.0,0,0.2195042021108975,-4.8920640888492954,-0.5367185169331421
2.0,42.0,3.5,1,1,4.0,1,white,1,6.0,0,0.32918076788510353,4.305215559043276,1.6301562268053091
3.0,40.0,3.5,1,1,3.0,0,white,1,5.0,0,0.22715147326978702,4.201943946111541,0.8092406787407107
9.0,42.0,3.5,1,0,4.0,0,white,1,3.0,0,0.2195042021108975,5.1079359111507046,-1.3698437731946909
8.0,40.5,3.5,1,1,4.0,1,white,1,5.0,0,0.32918076788510353,2.805215559043276,0.7551250152445412
6.0,41.0,3.5,1,1,3.0,1,white,1,4.0,0,0.33682803904399305,4.399223594004106,-0.2740718468854437
7.0,38.0,3.5,1,1,4.0,1,white,1,3.0,0,0.32918076788510353,0.30521555904327613,-1.0365936706900714
5.0,33.0,3.5,1,1,3.0,0,white,1,3.0,0,0.22715147326978702,-2.798056053888459,-0.6075716418762047
4.0,37.0,3.5,1,1,3.0,1,white,1,4.0,0,0.33682803904399305,0.39922359400410556,0.05917825561917578
9.0,41.0,3.5,1,1,4.0,0,white,1,5.0,0,0.2195042021108975,4.1079359111507046,0.7134687524314636
6.0,37.0,3.5,1,1,3.0,0,white,1,4.0,0,0.22715147326978702,1.201943946111541,0.05917825561917578
7.0,39.5,3.5,1,1,3.0,0,white,1,3.0,0,0.22715147326978702,3.701943946111541,-1.1491030584462116
4.0,39.0,3.5,1,1,2.0,0,white,1,4.0,0,0.234798744428677,4.2959519810723705,-0.09498739495004127
3.0,33.0,3.5,1,1,4.0,1,white,1,3.0,0,0.32918076788510353,-4.694784440956724,-0.6200310425592974
4.0,35.5,3.5,1,1,3.0,1,white,1,3.0,0,0.33682803904399305,-1.1007764059958944,-0.8158529559415921
10.0,32.0,3.5,1,1,3.0,0,white,1,3.0,0,0.22715147326978702,-3.798056053888459,-0.5242591162500503
10.0,41.0,3.5,1,1,4.0,0,white,1,4.0,0,0.2195042021108975,4.1079359111507046,-0.28653124756853643
2.0,34.0,3.5,1,1,2.0,0,white,1,3.0,0,0.234798744428677,-0.7040480189276295,-0.6784247668192673
9.0,33.0,3.5,1,1,2.0,1,white,1,5.0,0,0.344475310202883,-2.506768371035065,1.404887758806888
4.0,41.0,3.5,1,1,4.0,0,white,1,4.0,0,0.2195042021108975,4.1079359111507046,-0.28653124756853643
7.0,34.0,3.5,1,1,2.0,1,white,1,5.0,0,0.344475310202883,-1.506768371035065,1.3215752331807327
6.0,31.0,3.5,1,1,3.0,0,white,1,3.0,0,0.22715147326978702,-4.798056053888459,-0.44094659062389496
1.0,47.0,3.5,1,1,3.0,0,white,1,6.0,0,0.22715147326978702,11.201943946111541,1.226052999357627
7.0,37.0,3.5,1,1,3.0,0,white,1,5.0,0,0.22715147326978702,1.201943946111541,1.0591782556191758
5.0,31.0,3.5,1,1,4.0,0,white,1,2.0,0,0.2195042021108975,-5.8920640888492954,-1.4534059913069877
2.0,31.0,3.5,1,1,3.0,1,white,1,5.0,0,0.33682803904399305,-5.600776405995894,1.559053409376105
10.0,48.0,3.5,1,1,5.0,1,white,1,4.0,0,0.32153349672621356,9.21120752408244,-0.8821783276347137
3.0,47.0,3.5,1,1,3.0,1,white,1,4.0,0,0.33682803904399305,10.399223594004106,-0.773947000642373
8.0,42.0,3.5,1,1,3.0,1,white,1,2.0,0,0.33682803904399305,5.399223594004106,-2.357384372511599
10.0,35.5,3.5,0,0,3.0,0,white,1,5.0,0,0.22715147326978702,-0.2980560538884589,1.1841470440584079
8.0,34.0,3.5,1,1,3.0,0,asian,1,4.0,1,0.22715147326978702,-1.798056053888459,0.30911583249763996
9.0,31.5,3.5,1,1,2.0,0,white,1,2.0,0,0.234798744428677,-3.2040480189276295,-1.47014345275388
10.0,34.0,3.5,1,1,3.0,0,white,1,3.0,0,0.22715147326978702,-1.798056053888459,-0.69088416750236
7.0,46.0,3.5,1,1,4.0,1,white,1,5.0,0,0.32918076788510353,8.305215559043276,0.29690612430068963
1.0,31.0,3.5,1,1,3.0,0,white,0,4.0,0,0.22715147326978702,-4.798056053888459,0.559053409376105
2.0,36.0,3.5,1,1,4.0,0,white,1,3.0,0,0.2195042021108975,-0.8920640888492954,-0.8699686194377616
5.0,46.0,3.5,1,1,4.0,1,white,1,6.0,0,0.32918076788510353,8.305215559043276,1.2969061243006896
10.0,43.0,3.5,1,0,4.0,1,white,1,3.0,0,0.32918076788510353,5.305215559043276,-1.4531562988208462
8.0,46.0,3.5,1,1,4.0,0,white,1,5.0,0,0.2195042021108975,9.107935911150705,0.29690612430068963
4.0,22.0,3.5,1,1,4.0,0,black,0,3.0,1,0.2195042021108975,-14.892064088849295,0.2964067393284062
6.0,32.0,3.5,1,0,3.0,1,white,1,5.0,0,0.33682803904399305,-4.600776405995894,1.4757408837499497
4.0,38.0,3.5,1,0,2.0,0,white,1,4.0,0,0.234798744428677,3.2959519810723705,-0.011674869323886838
7.0,48.0,3.5,1,1,4.0,1,white,1,6.0,0,0.32918076788510353,10.305215559043276,1.130281073048379
